age,Dage
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.5174,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3.053,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.7037,
,
,
,
,
,
0.5043,
1.538,
3.026,
1.72,
1.109,
3.346,
,
0.8717,
1.549,
1.072,
1.004,
,
0.7514,
2.78,
0.5062,
0.9115,
,
,
,
1.3,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.33,
,
2.58,
,
,
,
,
,
,
,
1.966,
,
,
,
0.7462,
0.0,
,
,
1.049,
,
1.134,
,
0.8801,
,
,
,
0.4195,
,
2.129,
0.5205,
,
1.807,
,
,
3.5,
,
,
,
,
,
,
,
,
,
,
,
,
2.942,
,
0.6315,
,
1.024,
3.97,
,
,
,
,
,
,
,
,
,
1.343,
0.0,
,
0.4837,
,
,
0.8017,
,
,
,
,
,
1.175,
1.058,
1.189,
0.6154,
,
1.014,
,
2.403,
,
1.8621,
1.243,
1.887,
0.5802,
,
0.8774,
0.08164,
,
0.86,
,
,
0.139,
,
,
,
0.001,0.0002
0.1582,
,
,
0.06408,
0.06257,
0.3128,
0.71,
1.79,
,
0.2369,
0.1035,
,
,
,
,
,
,
1.81,
,
,
,
,
0.2132,
,
,
,
2.36,
,
0.61,
,
,
,
,
0.63,
,
,
,
0.22,0.04
,
,
2.25,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.001765,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.2,
0.91,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.526,
,
,
,
,
0.0056,0.0005
,
0.0001,
0.04344,
,
,
0.0079,0.0002
0.67,
0.0068,0.0007
,
0.0008,0.0001
,
0.0001,
,
,
,
0.35,0.01
,
0.0003,0.0002
,
,
0.0036,0.0009
,
,
0.1073,
,
0.005,0.0001
,
0.2199,
,
0.5038,
,
,
0.0002,0.0001
,
0.0004,0.0001
0.4981,
,
,
0.239,
0.418,0.067
,
0.079,0.075
,
0.1801,
0.345,
,
,
,
0.0044,0.0002
0.1479,
,
,
,
,
,
,
,
,
,
,
0.59,0.04
,
,
0.03,0.02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.2,0.05
,
,
,
,
,
,
,
,
,
0.02,0.032
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
